ensembl	hgnc
920	ENSG00000065268	17956
921	ENSG00000065308	16855
922	ENSG00000065320	8029
923	ENSG00000065325	4325
924	ENSG00000065328	18043
925	ENSG00000065357	2849
926	ENSG00000065361	3431
927	ENSG00000065371	17692
928	ENSG00000065413	25259
929	ENSG00000065427	6215
930	ENSG00000065457	228
931	ENSG00000065485	24811
932	ENSG00000065491	21602
933	ENSG00000065518	7699
934	ENSG00000065526	17575
935	ENSG00000065534	7590
936	ENSG00000065548	29528
937	ENSG00000065559	6844
938	ENSG00000065600	25593
939	ENSG00000065609	14986
940	ENSG00000065613	11088
941	ENSG00000065615	20147
942	ENSG00000065618	2194
943	ENSG00000065621	23064
944	ENSG00000065665	17702
945	ENSG00000065675	9410
946	ENSG00000065717	11838
947	ENSG00000065802	16011
948	ENSG00000065809	23726
949	ENSG00000065833	6983
950	ENSG00000065882	11578
951	ENSG00000065883	1733
952	ENSG00000065911	7434
953	ENSG00000065923	17123
954	ENSG00000065970	24818
955	ENSG00000065978	8014
956	ENSG00000065989	8780
957	ENSG00000066027	9309
958	ENSG00000066032	2510
959	ENSG00000066044	3312
960	ENSG00000066056	11809
961	ENSG00000066084	29284
962	ENSG00000066117	11106
963	ENSG00000066135	22978
964	ENSG00000066136	7806
965	ENSG00000066185	21192
966	ENSG00000066230	11073
967	ENSG00000066248	7807
968	ENSG00000066279	19048
969	ENSG00000066294	1704
970	ENSG00000066322	14418
971	ENSG00000066336	11241
972	ENSG00000066379	13182
973	ENSG00000066382	1180
974	ENSG00000066405	2039
975	ENSG00000066422	16740
976	ENSG00000066427	7106
977	ENSG00000066455	4428
978	ENSG00000066468	3689
979	ENSG00000066557	26004
980	ENSG00000066583	24254
981	ENSG00000066629	3330
982	ENSG00000066651	21080
983	ENSG00000066654	23807
984	ENSG00000066697	23370
985	ENSG00000066735	20226
986	ENSG00000066739	20187
987	ENSG00000066777	15772
988	ENSG00000066813	30931
989	ENSG00000066827	19899
990	ENSG00000066855	29510
991	ENSG00000066923	11356
992	ENSG00000066926	3647
993	ENSG00000066933	7608
994	ENSG00000067048	2699
995	ENSG00000067057	8878
996	ENSG00000067064	5387
997	ENSG00000067066	11206
998	ENSG00000067082	2235
999	ENSG00000067113	9228
